"identifier	Origin	DiffAvg	definition",,,,,,,,,,
"MOD:01631	A	-71.08	""A protein modification that effectively removes or replaces an L-alanine.""",,,,,,,,,,
"MOD:00090	A	-0.98	""A protein modification that effectively converts an L-alanine residue to L-alanine amide.""",,,,,,,,,,
"MOD:00856	A	1.01	""A protein modification that effectively converts an L-alanine residue to an L-alaninium (protonated L-alanine).""",,,,,,,,,,
"MOD:00070	A	14.03	""A protein modification that effectively converts an L-alanine residue to N-methyl-L-alanine.""",,,,,,,,,,
"MOD:01915	A	28.01	""A protein modification that effectively converts an L-alanine residue to N-formyl-L-alanine.""",,,,,,,,,,
"MOD:01179	A	28.05	""A protein modification that effectively converts an L-alanine residue to N","N-dimethyl-L-alanine.""",,,,,,,,,
"MOD:00050	A	42.04	""A protein modification that effectively converts an L-alanine residue to N-acetyl-L-alanine.""",,,,,,,,,,
"MOD:00348	A	43.02	""A protein modification that effectively converts an L-alanine residue to N-carbamoyl-L-alanine.""",,,,,,,,,,
"MOD:00071	A	43.09	""A protein modification that effectively converts an L-alanine residue to N",N,"N-trimethyl-L-alanine.""",,,,,,,,
"MOD:01873	A	44.01	""A protein modification that effectively converts an L-alanine residue to N-carboxy-L-alanine.""",,,,,,,,,,
"MOD:00172	A	123.05	""A protein modification that effectively converts an L-alanine residue to N-alanyl-glycosylphosphatidylinositolethanolamine.""",,,,,,,,,,
"MOD:01172	A	123.05	""A protein modification that effectively converts an L-alanine residue to N-alanyl-glycosylsphingolipidinositolethanolamine.""",,,,,,,,,,
"MOD:00388	A	268.25	""A protein modification that effectively attaches an L-alanine residue to murein peptidoglycan by a pentaglycine linker peptide.""",,,,,,,,,,
"MOD:01635	C	-103.14	""A protein modification that effectively removes or replaces an L-cysteine.""",,,,,,,,,,
"MOD:00793	C	-34.08	""A protein modification that effectively converts an L-cysteine residue to dehydroalanine.""",,,,,,,,,,
"MOD:00136	C	-33.09	""A protein modification that effectively converts an L-cysteine residue to pyruvic acid.""",,,,,,,,,,
"MOD:00193	C	-18.08	""A protein modification that effectively converts an L-cysteine residue to L-oxoalanine.""",,,,,,,,,,
"MOD:00892	C	-16.06	""A protein modification that effectively converts an L-cysteine residue to D-serine.""",,,,,,,,,,
"MOD:01457	C	-16.06	""A protein modification that effectively converts an L-serine residue to L-cysteine (not known as a natural"," post-translational modification process).""",,,,,,,,,
"MOD:00798	C	-1.01	""A protein modification that can be regarded as effectively either one half of a cystine cross-link"," or a cysteine residue with one hydrogen atom or proton removed.""",,,,,,,,,
"MOD:00094	C	-0.98	""A protein modification that effectively converts an L-cysteine residue to L-cysteine amide.""",,,,,,,,,,
"MOD:01444	C	-0.06	""A protein modification that effectively converts an L-cysteine residue to L-3","3-dihydroxyoalanine.""",,,,,,,,,
"MOD:00965	C	12.01	""A protein modification that effectively converts an N-terminal L-cysteine residue by a formadehyde adduct to 4-thiazolidinecarboxylic acid.""",,,,,,,,,,
"MOD:00114	C	14.03	""A protein modification that effectively converts an L-cysteine residue to L-cysteine methyl ester.""",,,,,,,,,,
"MOD:00239	C	14.03	""A protein modification that effectively converts an L-cysteine residue to S-methyl-L-cysteine.""",,,,,,,,,,
"MOD:01682	C	14.03	""A protein modification that effectively replaces one hydrogen atom of an L-cysteine residue with one methyl group.""",,,,,,,,,,
"MOD:00210	C	16.00	""A protein modification that effectively monooxygenates an L-cysteine residue to L-cysteine sulfenic acid.""",,,,,,,,,,
"MOD:00338	C	25.01	""A protein modification that effectively converts an L-cysteine residue to S-cyano-L-cysteine.""",,,,,,,,,,
"MOD:00235	C	29.00	""A protein modification that effectively converts an L-cysteine residue to S-nitrosyl-L-cysteine.""",,,,,,,,,,
"MOD:00267	C	32.00	""A protein modification that effectively dioxygenates an L-cysteine residue to L-cysteine sulfinic acid.""",,,,,,,,,,
"MOD:00274	C	32.06	""A protein modification that effectively replaces the hydrogen atom of a cysteine sulfanyl group with a sulfanyl group", forming a disulfanyl group," and converting an L-cysteine residue to L-cysteine persulfide.""",,,,,,,,
"MOD:00419	C	40.02	""A protein modification that effectively converts an L-cysteine residue to (R)-5-oxo-1","4-tetrahydrothiazine-3-carboxylic acid.""",,,,,,,,,
"MOD:00052	C	42.04	""A protein modification that effectively converts an L-cysteine residue to N-acetyl-L-cysteine.""",,,,,,,,,,
"MOD:00065	C	42.04	""A protein modification that effectively converts an L-cysteine residue to S-acetyl-L-cysteine.""",,,,,,,,,,
"MOD:00340	C	42.04	""A protein modification that effectively converts an L-cysteine residue to S-amidino-L-cysteine.""",,,,,,,,,,
"MOD:00646	C	42.04	""A protein modification that effectively converts an L-cysteine residue to either N-acetyl-L-cysteine or S-acetyl-L-cysteine.""",,,,,,,,,,
"MOD:00337	C	43.02	""A protein modification that effectively converts an L-cysteine residue to S-carbamoyl-L-cysteine.""",,,,,,,,,,
"MOD:00884	C	43.07	""A protein modification that effectively converts an L-cysteine residue to S-2-aminoethylcysteine.""",,,,,,,,,,
"MOD:00598	C	44.05	""A protein modification that effectively converts an L-cysteine residue to S-(2-hydroxyethyl)cysteine""",,,,,,,,,,
"MOD:00110	C	46.09	""A protein modification that effectively converts an L-cysteine residue to L-cysteine methyl disulfide.""",,,,,,,,,,
"MOD:00686	C	46.91	""A protein modification that effectively converts an L-cysteine residue to L-selenocysteine (not known as a natural"," post-translational modification process).""",,,,,,,,,
"MOD:00460	C	48.00	""A protein modification that effectively trioxygenates an L-cysteine residue to L-cysteine sulfonic acid.""",,,,,,,,,,
"MOD:01284	C	56.06	""modification from UniMod Other -""",,,,,,,,,,
"MOD:01060	C	57.05	""A protein modification that effectively converts an L-cysteine residue to S-carboxamidomethyl-L-cysteine.""",,,,,,,,,,
"MOD:01214	C	57.05	""modification from UniMod Chemical derivative - OBSOLETE because redundant"," the difference component of MOD:01060. Remap to MOD:01060.""",,,,,,,,,
"MOD:01061	C	58.04	""A protein modification that effectively converts an L-cysteine residue to S-carboxymethyl-L-cysteine.""",,,,,,,,,,
"MOD:01829	C	58.04	""A protein modification that effectively converts an L-cysteine residue to S-carboxymethyl-L-cysteine sulfoxide.""",,,,,,,,,,
"MOD:00279	C	70.05	""A protein modification that effectively converts an Lcysteline residue to N-pyruvic acid 2-iminyl-L-cysteine.""",,,,,,,,,,
"MOD:01277	C	70.09	""modification from UniMod Other -""",,,,,,,,,,
"MOD:00417	C	71.08	""A protein modification that effectively converts an L-cysteine residue to S-carboxamidoethyl-L-cysteine.""",,,,,,,,,,
"MOD:01079	C	71.08	""A protein modification that effectively converts an L-cysteine residue to S-[(acetylamino)methyl]-L-cysteine.""",,,,,,,,,,
"MOD:01793	C	73.05	""A protein modification that effectively converts an L-cysteine residue to S-carboxamidomethyl-L-cysteine sulfoxide.""",,,,,,,,,,
